1725768870_396417556330070016 x	@Craigslist_26 c'mon man lol
1725768870_390659397254660096 x	@LNuwanda  Checking out Harry Potter Festival in Chestnut Hill on http://t.co/YhASGryKer http://t.co/ssaGc6hQpF via @visitphilly
1725768870_391022879930077184 x	@LNuwanda @visitphilly haha I kno
1725768870_390261149604020224 x	@Craigslist_26 think the tigers can win?
1725768870_390270677645000704 x	@Craigslist_26 read this i had you in mind when i wrote it Everyone Needs A Hero: http://t.co/iNqz6XNXvu
1725768870_390260549818130434 x	Everyone Needs A Hero: http://t.co/iNqz6XNXvu #Jesus
1725768870_390260008132562944 x	Let's go tigers #rallytime
1725768870_389880814629961728 x	This is the Most Adorable Eagles Fan You Will See today http://t.co/9TUmWfLj5U
1725768870_389415093999783936 x	RT @CutonDime25: Back at it game time!!!!!...... Damn the Philly Boys here !!!!!!
1725768870_389413150115627009 x	Prediction for today, Eagles 30 Bucs 13
1725768870_389412847056588800 x	RT @RoobCSN: Inactive for the Eagles: Prater, Poyer, Tobin, Kelly, Square, Igwenagu, Casey. Vick active but will only play in an emergency.
1725768870_389411770122502144 x	American Gangster (9/11) Movie CLIP - The End For Frank (2007) HD: http://t.co/ObNc93Gu0r via @youtube
1725768870_388644183696609281 x	The Blues Brothers http://t.co/Sg7C0rz3GK via @youtube
1725768870_388451927425830912 x	Go bears
1725768870_387195801170345984 x	@DaniGershkow #youranerd #getoverit
1725768870_381850788106354689 x	RT @SportsCenter: Tom Brady brightens the day of Eduardo Martinez, a Patriots fan with an incurable heart condition. #MiDeseo http://t.co/u?
1725768870_381850545323245568 x	RT @JSalisburyCSN: Ryne Sandberg paid the price to achieve his goal http://t.co/WLQuyq20ZI #PhilliesTalk
1725768870_378329783001948160 x	@Craigslist_26 your lucky patriots have no offensive weapons jets might hav a shot tonite
1725768870_378328623130107905 x	Tom Brady time to step it up #realtalk
1725768870_378325709854638080 x	Geno is better than mark #buttfumble
1725768870_377263487342641152 x	Fly eagles fly #realtalk #desean #birds
1725768870_374918134479994880 x	@Craigslist_26 hopefully Darwin Barney will follow me lol
1725768870_374914753841614848 x	@Craigslist_26 new twitter I need followers
