345423757_296103744666488832 x	@CenaApproved he's awesome.
345423757_364383406093643776 x	@FOX29philly @JennFredFOX29 @MikeFOX29
345423757_357601374713819136 x	@RollingStone: I won't be buying that issue!!
345423757_356970919589187585 x	@CenaApproved great match
345423757_346627252869541888 x	@howardeskin @usopengolf I don't think they'll be back
345423757_345150472501485568 x	@JennFredFOX29: you are "rockin it out" today with the hair! Love it!
345423757_344093367484960769 x	@MikeFOX29 hurry back buddy. I can only take so much Thomas!
345423757_341900528663531520 x	RT @TDraytonFox29: Please Help! 10YO AT CHOP NEEDS LUNGS TO LIVE. LEARN SARAH'S NAME TO SAVE HER LIFE. USE THE HASHTAG #Sign4Sarah @RyanSea?
345423757_341900445985423360 x	RT @KacieFOX29: .@RyanSeacrest 10YO AT CHOP NEEDS LUNGS TO LIVE! LEARN SARAH'S NAME TO SAVE HER LIFE #SIGN4SARAH http://t.co/HL57uvDWHX | R?
345423757_341889716028850176 x	@BarackObama: 10yo at CHOP needs lungs to live! Learn Sarah's name to save her life. Please rt #SIGN4SARAH
345423757_341694621623132162 x	RT @PPDPaulGuercio: A poor 61 year old lady was caught in the crossfire today at 18th & Cumberland...stable condition. Any info text to: 77?
345423757_332139001320443904 x	@NBCPhiladelphia @johnclarknbc10 : you guys need to send this story to espn. This story should go national!!
345423757_332127360340066305 x	RT @PrestonSteve933: Preston is 45 years old and jealous of this 6 year old kid. As he should be because this kid is sick! http://t.co/fUP0?
345423757_331385604883492864 x	@SheinelleFox29 : people say the street name Poplar..."Popular". It makes me laugh every time!!
345423757_330126888016162816 x	@TMZ just listen to the police. It's not that hard!
345423757_330126750367498241 x	RT @TMZ: Reese Witherspoon Arrest DASH CAM VIDEO -- Crazier Than You Thought! http://t.co/iww0a471It
345423757_318905972762497024 x	#RockVsCENA : IF YA SMELLLLLLL
345423757_316208113973858305 x	#MyBustedBracket : one word...LaSALLE
345423757_316207493544034305 x	One word......LaSALLE
345423757_314945874839076864 x	@NBA @denvernuggets @sixers : they just can't close out games. Please don't blame the coach, he's the best thing we have!!
345423757_312187596199563264 x	@FOX29philly : I'm glad They found it before it found them!!
345423757_312178776979165184 x	@FOX29philly : that's a great prank!! I want to go buy a camaro now!!
345423757_309655469994164224 x	@ochocinco lmfao
345423757_309474014080933888 x	@WolfVanHalen @umpquablues : sorry, I copied the pic. It's awesome!!!
345423757_308748536739143680 x	#OLDSCHOOLRAW : so far so good
345423757_308746372553773056 x	Lets see the RKO early!!!
345423757_306604864320966657 x	@MikeMiss975 : I'm afraid he's going to lose his job. I love him as a coach too!!
345423757_306603537343852546 x	@JohnBolaris @spikeeskin waste of a trade!! I'm disappointed.
345423757_298283004181221378 x	@TeamFlacco : congrats Joe, you deserve the MVP!!!
345423757_295904254042992643 x	@MikeJerrick : what!!! Jen & Steve are not married???
345423757_294111557519032320 x	@975TheFanatic : the Flyers can't win so they're just going to kick the Rangers ass "Yo" #broadstreetbullies
345423757_293105748718780417 x	Now we're talkin #intersted
345423757_293100871678586881 x	And I thought this game was goin to be good #disappointed
345423757_291200530447998976 x	@PrestonSteve933 that snot was huge
345423757_291199262597971968 x	@PrestonSteve933 OMG!!!
345423757_291027242476244994 x	#raw20 awesome night
345423757_291027128793841664 x	One of the best RAW'S yet
345423757_256008382878720000 x	Great day to golf...NOT... thanks mother nature!
345423757_173615817295020032 x	@espn hello Evans
345423757_173615466235957248 x	@NBA @King24George @espn, awesome !
345423757_171961438091485185 x	@FOX29philly I live around the corner from there, bad intersection, always accidents there.
345423757_171961203902525440 x	@FOX29philly
345423757_154878312508948480 x	@FOX29philly great game!
345423757_135828559943053314 x	If the eagles lose this game, Andy Reid should be fired immediatly
345423757_123370846738853889 x	@mikejerrick disappointing seasoning, thank God for the Flyers!
345423757_120545601963311104 x	Catch the ball Jackson, u punk
345423757_106917633823215616 x	A win is a win...go BIRDS
345423757_106067999349407744 x	This isn't the kind of shaking I want to do
345423757_97331976108908544 x	welcome to philly Hunter
