532839886_394354530525388800 x	Now This Is Relaxing
532839886_395744560145760256 x	Minnesota Timberwolves Are 1-0
532839886_395738907981406208 x	KEVIN LOVE!!!
532839886_395712570726055936 x	Hungry With No Money
532839886_395710629837045760 x	I Ain't Gon Lie, I Miss You.. But That Doesn't Mean Much
532839886_395703206208356354 x	Somebody Bring Me Something 2 Eat
532839886_395702465620090880 x	What's The Score Of The HEAT Game !?
532839886_395702219808735232 x	It Takes 6 Months To Build A Rolls Royce And 13 Hours To Build A Toyota.
532839886_395671593143115776 x	I Love This Foggy Weather
532839886_395629762825433088 x	Loyalty Over Royalty
532839886_395627470986420224 x	When I Was 13 I Told My Mom That We'd See Better Days..
532839886_395628863705083904 x	?@JaszWorld_: @KirbyPuckettJr_ | I see you making it happen! ?? You Already Know
532839886_395628657974460416 x	Twitter Has Changed Again.. & N A Way That I Don't Like
532839886_395438573232865280 x	I'm Fighting To Be Understood
532839886_395314060230950912 x	The Bulls Gonna Start Out 0-1
532839886_395309941361487872 x	30's
532839886_395306746178465792 x	A$AP Rocky Is Gay ?
532839886_395308713634181120 x	?@MilkyChocolate_: @PaoolaFuentes @KirbyPuckettJr_ hes not gay yo ?? http://t.co/nHEud4BnLV
532839886_395309358193856512 x	@MilkyChocolate_ @PaoolaFuentes What About That Picture Tho
532839886_395307512041598976 x	?@PaoolaFuentes: ?@KirbyPuckettJr_: A$AP Rocky Is Gay ???? Dong Tell Me That!? He Jus Admitted It N An Interview ?
532839886_395308252818587649 x	@PaoolaFuentes I'm Shocked -__-
532839886_395308592058089472 x	@PaoolaFuentes What Will He Rap About Now ?
532839886_395308360834498561 x	@__chrissyr Look At My Last Tweet ?
532839886_395280937921282048 x	@KingJames http://t.co/mZd0aNFeO8
532839886_395279660453732352 x	I Got Plenty Tix
532839886_395279017479516160 x	Who's Tryna Go To The Kanye Concert Next Tue? Dm Me
532839886_395111536160952320 x	Who's Up
532839886_395115944248610816 x	@NeddaLilChelle What're You Doing Up ? Lol
532839886_395116441139437568 x	@NeddaLilChelle I Can't Sleep! So I'm Playing PS3 lol
532839886_395098121577193472 x	RT @TheQuestionerr_: For $25 million, would you sneak into a hospital and switch up two similar looking newborns?
532839886_395097353935667201 x	LA
532839886_395096389602263040 x	YeaYea
532839886_395080112171134976 x	Extra Larger Digits
532839886_395079543419338753 x	I'm Up
532839886_395056817971412992 x	Live..
532839886_394939174287327232 x	iMake Dreams Come True
532839886_394938017808654336 x	Slapped Her A$$ Like She Scored 30..
532839886_394893520815022080 x	The MIAMI HEAT Will Be Better This Year Than They Were Last Year!  @KingJames @easyst0 @DwyaneWade   #3PEAT
532839886_394892345692672000 x	I Hate Being N The Passenger Seat Of My Own Car.. Lol
532839886_394842852959993856 x	MORE MONEY MONDAY
532839886_394705971123351552 x	What's Good
532839886_394615914869846016 x	Vikings Game
532839886_394532054316355584 x	?@wingoz: The Jags have scored. They will be allowed re entry to the country? Haha
532839886_394531091484520448 x	I'm Always On My Chill ViBE
532839886_394529608340881409 x	The Jaguars Helmets Are SOOO Ugly
532839886_394528783459688448 x	KC
532839886_394526931632549888 x	Who's Going To The Vikings Game Tonight ??
532839886_394496693968048129 x	@CourtneMichaela Thank You :)
532839886_394352556262322176 x	Don't Judge Me By My Tweets.. It's Sooo Much Realer N Person..
532839886_394352363357896704 x	I'm Feel'n ME
532839886_394352261620846592 x	We Makin Sure The Cars Are Tinted..
532839886_394351520244060160 x	I Guess We Call That Groupie Love
532839886_394350026820165632 x	Who's Up
532839886_394340947531935744 x	F Da Ops
532839886_394326864053174272 x	Jus Watched the Conjuring.. Smh
532839886_394199416309309440 x	Ruthless
532839886_394137851266625536 x	Might Flex At MOA
532839886_394136762270089216 x	I'm Not Hard To Find
532839886_394135708967112704 x	I Might Not Be Your First Love
532839886_394135517329362944 x	I Told Her Look, Come Get Me Tho
532839886_394135401411411969 x	I'm N That 650 Tho
532839886_394135324160708609 x	She Pulled Up N A CL
532839886_394135241398685696 x	It Went Further Into Details
532839886_394135080459055104 x	So I Had To Get That Email
532839886_394134954399256576 x	So I've Been Lookin For This Female
532839886_394128350194962432 x	I Wanna See Bad Grandpa Today.. Anyone Else ?
532839886_394126211448070145 x	But Everytime A Real One Calls Your Phone Pick It Up..
532839886_394126032837808128 x	Women Lust
532839886_394125941372633089 x	We Don't Ever Ask For Much Except Trust..
532839886_393993970717818880 x	99% Of The Women I Follow Are 10's
532839886_393993495855521793 x	I Hope Twitter Don't Fall Off..
532839886_393992609137721344 x	We'll Find You.. You Ain't Nemo
532839886_393992014439931905 x	Everybody's Sleep
532839886_393992498559057920 x	@ErinCaryneOC What Cha Doin ?
532839886_393991808671555584 x	She Loves The Lingo
532839886_393991669965946880 x	I Jus Wanna F With You Like Rude Polices
532839886_393980235907350528 x	Who Wants To See Bad Grandpa Tomorrow ?
532839886_393969339180666880 x	No Communication
532839886_393634073442152449 x	What's Perfect ?
532839886_393636511771811840 x	?@SymoneJ_TGOD: ?@KirbyPuckettJr_: What's Perfect ?? Nothing|no one :-)? 1000
532839886_393633573313323008 x	They Like Kirby Where You Been At !?
532839886_393629509532282880 x	Who's Up
532839886_393630116347396096 x	@CSnBDi Why So Late ?
532839886_393630546473259008 x	@CSnBDi I'm Always Up Late lol
532839886_393631126839128064 x	@CSnBDi Haha Not That Young
532839886_393632062852571136 x	@CSnBDi Haha
532839886_393627594668900352 x	Woo!!
532839886_393608688659103744 x	@ThatGuyDY Yea Mane! 730
532839886_393393438512939008 x	Twitter Fell'n Off
532839886_393113092294705152 x	@IlaDoud Yea
532839886_393113603764940800 x	@IlaDoud Awesome! :)
532839886_393115018272989184 x	@IlaDoud Really ? Why Not
532839886_393115553394884609 x	@IlaDoud Ohh I See! :(
532839886_393111820296544256 x	"Low-Key" Is The Key To My Heart
532839886_393081868893310976 x	Hold Me Down & Ill Hold You Steady
532839886_392896461245255680 x	Stay Down.
532839886_392892314106220544 x	?
532839886_392761771679035392 x	My Beamer Stock.. The Impala Custom
532839886_392760473357385728 x	I Know You Got My Back.. That's Why I Confide N You
532839886_392733278358503426 x	I'm So Low-Key IDK My Own Name
532839886_392733911908102146 x	@THESHILIFE ?
532839886_392732009237610498 x	RT @THESHILIFE: ?@KirbyPuckettJr_: The Best Dreams Happen When You're Awake? ???
532839886_392730639247872000 x	They Want The Old Kirby. For What Tho ??
532839886_392700882527465473 x	RT @ColombianJaccy: Needa smart girl with a dumb booty
532839886_392532099301146624 x	You Gotta GLO Up One Day
532839886_392531724670103552 x	Nothin Nice
532839886_392524267063357440 x	We Ain't Never Had Help.. It's Jus Us..
532839886_392521914293714944 x	Where She At
532839886_392359643110187009 x	My Car Sounds Like A Never Ending Thunderstorm
532839886_392353930086465536 x	She Never Tell Me No When I Ask For More.. She Say It's Not Here!
532839886_392292805928058880 x	I Respect My City.. But Not Everybody N It
532839886_392292624113340417 x	RT @richieOV_: ?@KirbyPuckettJr_: I'd Rather Be Judged By My Jewelry.. Not The Jewelry Of My Peers??????? JURY ??????
532839886_392292180678938624 x	I'd Rather Be Judged By My Jewelry.. Not The Jewelry Of My Peers
532839886_392154197220929536 x	Hey
532839886_392155008885854208 x	@TheGameOnGuru It Was Good! Hbu
532839886_392128981849604096 x	Be Something
532839886_392081416282193921 x	DEN vs IND
532839886_392066330800967680 x	If You Don't Run They Can't Chase You
532839886_391987312617586688 x	F With Me It's Addictive
532839886_391960164007682048 x	Not All Girls Can Wear Skully's
532839886_391954953625149440 x	@e_hawkins14 Dam
532839886_391954602750664704 x	@e_hawkins14 Where ??
532839886_391953745434902528 x	Don't Tan! Stay Golden
532839886_391814266510376962 x	She Said I'm Better Than Her Man At Home
532839886_391813886078644224 x	Strangers & Freaks
532839886_391801082118426624 x	Yo
532839886_391792364014280704 x	Young King
532839886_391792193704591360 x	@iknowjado Happy Bday Bruh
532839886_391734091781263360 x	I Can Relate To All People.. Except Fake People..
532839886_391733274101690368 x	I'm Low-Key.. That's Why They Wanna Know Me..
532839886_391731748209696769 x	You May Not Be A Star.. But You Look Like One
532839886_391731124172759041 x	I Never Much Talkin. I Never Do Much Trickin. I'm All About My Riches.
532839886_391730142651113472 x	Finesse Finesse- Finesse Finesse
532839886_391729369712197634 x	Vanilla Wafers
532839886_391452226654572544 x	Flex
532839886_391448635210485760 x	Who's Up
532839886_391435293628588032 x	Wad It Do
532839886_391307331231039488 x	I Never Ask You "Where You At" Because Wherever You Are I Know You Always Gon Come Back!
532839886_391279764197347328 x	Kings Landing
532839886_391278645857501184 x	I'm N Love........ With Cash
532839886_391277275226066944 x	Keep Your Head Up Man The Sun Gon Always Shine For You!
532839886_391086872375857152 x	Salute
532839886_391085927197851648 x	TBT With thatguydy kittybabie http://t.co/XuQMJcWjaX
532839886_391075116433833985 x	When I'm Gone You'll Miss It
532839886_391072485036556288 x	Everybody Wants Respect.. The Best Advice I Have Is EARN IT..
532839886_391072007078834176 x	I Know That's Kind Of Direct, But What Else Would You Expect?
532839886_391071754283941888 x	How've Things Been Since I Left. I Know These Dudes Now Have Very Little Respect, That's Why I Came Back To Get You Up Out Of That Dress..
532839886_391070923589427200 x	Honeys & Money
532839886_391070158116384769 x	Throw Yo Hands Up If You Grew Up N The 90's
532839886_390957947775627264 x	Drugs Inc. Is A Good Show
532839886_390942432957063168 x	@akaPookiee Hahaha
532839886_390940175368736768 x	RT @Dodgers: Andre Ethier, suit game: A+: http://t.co/U7FOGpp5CO
532839886_390935381170192384 x	She A Young Ass Stallion & She's 20 Years Old When She Pop It From The Back I See That ______________
532839886_390936156978020352 x	Remember  Everybody Ain't  Loyal
532839886_390925564577849344 x	Stop Blowing Up My Phone-If I Answer Ill Deflate..
532839886_390913453856407552 x	The Best Dreams Happen When You're Awake
532839886_390718412005322753 x	It Surprises Me More When Young Women Don't Have Kids.. But I Still Respect The Ones That Do!
532839886_390832710056681472 x	@Bridget_anders Which Isn't Always Bad, But Some Aren't Ready To Support Them
532839886_390906352098627584 x	@Bridget_anders 1000!
532839886_390833856594853889 x	RT @VikingsFanPage: I've defended Frazier and staff for 3 years to give them time. I'm done. Gloves are off.
532839886_390833711748755456 x	I'm Up
532839886_390705070599180288 x	NBA 2K14 Doesn't Look How It Does N The Commercials..
532839886_390722591981600768 x	@DishinNswishin1 Xbox! & What Do You Mean ?
532839886_390723163560353792 x	@DishinNswishin1 Haha On Life
532839886_390718708597149696 x	I Don't Discriminate
532839886_390717378071646208 x	Have Confidence N Your Appearance
532839886_390715489791799296 x	I Don't Like Surprises
532839886_390714845848666112 x	Groovy
532839886_390712427459121152 x	Act Like You're Used To Somethin..
532839886_390711933433020416 x	N The Club Poppin Bottles Like A Champion
