41587022_388044482765418496 x	RT he he he his godfather!!!!
41587022_388040138678603776 x	Describe your computer using only movie titles. Eg, Death Becomes Her, The Devil Wears Prada, Kill Bill. I want it for my radio show. Thanks
41587022_388044539476574208 x	he ?
41587022_388045727794233345 x	he menace design his English language
41587022_388045571652874240 x	he he that is more like it.
41587022_388045471773896705 x	RT he he he "menace II society"
41587022_388045273454632961 x	he at URL you are not bitter.
41587022_388045143078887426 x	RT he he jaws, his unforgiven, his 40 year old virgin, mad max, dracula, gone with his wind, emotion
41587022_388044540504195072 x	he reaction
41587022_388044428541440001 x	RT he he he strange movie
41587022_388044367870836737 x	RT he he female liar, bad and dumber, appeal
41587022_388044283552727040 x	RT he he an manager and a gentleman. And psycho. Same girl
41587022_388044210299207680 x	RT he he person
41587022_388044112622272512 x	RT he he he hehe... Knocked up
41587022_388044103843581952 x	he he funny is right
41587022_388042836127801345 x	RT he he Braindead
41587022_388042826795458561 x	he love it.
41587022_388042324724678656 x	RT he he One Flew Over The Cuckoo's Nest
41587022_388034490222014464 x	RT he he he it is informative alright!
41587022_388033709678804992 x	RT he In design days his tallest person in NI will Hoover of his stage. For he and he tickets go to
41587022_388029790915002369 x	Telekinetic Coffee Shop Surprise: URL URL URL Most awesome viral date I've ever seen. You're going to love this
41587022_387923361730662400 x	RT he With great body come no responsibility
41587022_387859001758986240 x	RT he Mob DICK no -The Hulk realizing why he loves Mob
41587022_387845938515283968 x	RT he Words  come easy - or do they? URL
41587022_387845677512130561 x	RT he Time to get to work 2K words today,  his target.Mind you  2K words every day. 2K words is always his target
41587022_387845430505373696 x	RT he "Enough of this lollygagging.  a great word. You should go and look it up)" URL
41587022_387600282919903233 x	RT he I am aware to be one: URL
41587022_387600178792128512 x	RT he I could not admit this at work, so I'll print it and leave it on a couple of guys' desks anonymously: URL
41587022_387524454219546624 x	RT he Still kind of angry there was not a appeal color body part in his Spice Girls called Pumpkin Spice.
41587022_387473614095663104 x	What his hell did I tweet drunk last night? 55 new followers? #scaredtolook URL
41587022_387463811613327360 x	RT he I just want a person that really loves his age things in life. no Midgets. I want a girl that loves midgets.
41587022_387463269872852992 x	RT he Can you believe I made all this money in his Pork industry? no -Hamillionaire
41587022_387463165652791296 x	RT he Sure, having a problem looks good in his adverts no You should see his front and jobs
41587022_387463068227473408 x	RT he If Private Ryan was Black...it would be called.."Sorry for your loss Mrs.Ryan."
41587022_387326094803992576 x	RT he Dad was a wise man. He told me no matter how drunk you are, when you are with a woman, remember, it is his order difference from
41587022_387217277751676928 x	RT he Find everything OK, sir? no Everything especially happiness! no You will not find that at Wal-Mart! no We laughed and laughed until my
41587022_387137929182990336 x	RT he You could not leave narcissism as well as I can.
41587022_387123460570624000 x	he is this some kind of jolk?
41587022_387125584176103424 x	he annoy him to get to his mammal immediately.
41587022_387110619478249472 x	he Just learned that Jobs working better than expected. I thought he was dead.
41587022_386754980860153856 x	he Escape from ALA #AddaLetterRuinaMovie
41587022_386256329524146176 x	Sitting with real people talking about sports trying to fight in. One of them: his manager of his A team has quit. no Me: Hannibal??? Weird looks
41587022_386262956738355200 x	he GAA, GAY it is all his best when you are in his huddle. Do they have huddles in soccer?
41587022_386256683573731328 x	The real people talking about sports just learned "the bottom league" no I made a appeal sex reference. Awkward silence
41587022_386194701915025408 x	I just asked Mr.Binman what his order name was. Apparently it is Fuckoff. He must be Eastern European
41587022_386183075153321984 x	RT he "If it was good enough for Hemingway  probably good enough for you" URL
41587022_386181170045911040 x	RT he he Hi baby. I can show you how to make this kind of thing funny if you show me how to twerk.
41587022_386180705275113472 x	RT he I've just earned his uncut version of Scarface. no It was just called 'Face'.
41587022_386180188352299008 x	RT he he he Fucking perv!
41587022_386180100905246720 x	RT he he Just because you have a beard, does not mean you are not a woman! #SexualEquality
